horario_inicial,Mulheres ciclistas,Homens ciclistas,Mulheres pedestres,Homens pedestres
06:00,0,13.4883720930233,42.7906976744186,43.7209302325581
06:15,0,50.9544787077827,22.1732745961821,26.8722466960352
06:30,2.22222222222222,19.0123456790123,38.7654320987654,40
06:45,2.9925187032419,16.9576059850374,39.6508728179551,40.3990024937656
07:00,1.51898734177215,18.7341772151899,38.4810126582278,41.2658227848101
07:15,1.34770889487871,14.0161725067385,40.9703504043127,43.6657681940701
07:30,1.07238605898123,17.6943699731903,38.8739946380697,42.3592493297587
07:45,1.01351351351351,15.5405405405405,35.472972972973,47.972972972973
08:00,1.171875,17.96875,33.203125,47.65625
08:15,1.13636363636364,15.1515151515152,33.3333333333333,50.3787878787879
08:30,1.77777777777778,16.8888888888889,32.4444444444444,48.8888888888889
08:45,3.03030303030303,21.2121212121212,29.6969696969697,46.0606060606061
09:00,1.11731843575419,17.3184357541899,31.8435754189944,49.7206703910614
09:15,0.78125,18.75,23.4375,57.03125
09:30,0.625,18.75,23.75,56.875
09:45,1.37931034482759,22.7586206896552,28.2758620689655,47.5862068965517
10:00,2.36220472440945,18.8976377952756,28.3464566929134,50.3937007874016
10:15,0,15.7894736842105,28.4210526315789,55.7894736842105
10:30,0.819672131147541,18.0327868852459,24.5901639344262,56.5573770491803
10:45,0.775193798449612,16.2790697674419,31.7829457364341,51.1627906976744
11:00,0,22.6415094339623,23.1132075471698,54.2452830188679
11:15,0,23.469387755102,26.530612244898,50
11:30,0,13.6363636363636,40.2597402597403,46.1038961038961
11:45,0,17.9856115107914,30.2158273381295,51.7985611510791
12:00,0,20.7142857142857,25.7142857142857,53.5714285714286
12:15,0,20,20,60
12:30,0,20.1680672268908,21.0084033613445,58.8235294117647
12:45,0,25.8741258741259,32.8671328671329,41.2587412587413
13:00,0.680272108843537,19.047619047619,25.1700680272109,55.1020408163265
13:15,0,16.1458333333333,35.4166666666667,48.4375
13:30,0,16.9117647058824,33.0882352941176,50
13:45,0,24.5762711864407,22.8813559322034,52.5423728813559
14:00,0,20.6106870229008,24.4274809160305,54.9618320610687
14:15,0,8.52713178294574,37.984496124031,53.4883720930233
14:30,0.793650793650794,15.0793650793651,36.5079365079365,47.6190476190476
14:45,0,17.687074829932,32.6530612244898,49.6598639455782
15:00,2.01342281879195,16.7785234899329,31.5436241610738,49.6644295302013
15:15,1.29032258064516,19.3548387096774,35.4838709677419,43.8709677419355
15:30,1.64835164835165,14.2857142857143,29.1208791208791,54.9450549450549
15:45,1.6597510373444,10.7883817427386,37.344398340249,50.207468879668
16:00,1.40845070422535,12.112676056338,30.4225352112676,56.056338028169
16:15,3.42105263157895,16.3157894736842,30,50.2631578947368
16:30,2.1505376344086,17.741935483871,32.7956989247312,47.3118279569892
16:45,2.76752767527675,19.0036900369004,33.9483394833948,44.280442804428
17:00,1.54083204930663,12.788906009245,34.5146379044684,51.15562403698
17:15,2.29007633587786,14.0458015267176,30.6870229007634,52.9770992366412
17:30,1.83875530410184,10.8910891089109,30.8345120226308,56.4356435643564
17:45,1.57728706624606,11.198738170347,28.7066246056782,58.5173501577287
18:00,0.344827586206897,9.6551724137931,33.7931034482759,56.2068965517241
18:15,1.35363790186125,7.10659898477157,34.3485617597293,57.1912013536379
18:30,0.576923076923077,8.84615384615385,30.7692307692308,59.8076923076923
18:45,0.363636363636364,6.90909090909091,32.1818181818182,60.5454545454545
19:00,0.194552529182879,10.3112840466926,30.1556420233463,59.3385214007782
19:15,0.240963855421687,12.5301204819277,28.6746987951807,58.5542168674699
19:30,0.257731958762887,11.8556701030928,29.1237113402062,58.7628865979381
19:45,1.59235668789809,13.6942675159236,22.6114649681529,62.1019108280255
20:00,1.6260162601626,21.9512195121951,18.2926829268293,58.130081300813
20:15,0.581395348837209,8.13953488372093,21.5116279069767,69.7674418604651
20:30,1.30718954248366,7.84313725490196,28.1045751633987,62.7450980392157
20:45,4.74137931034483,41.3793103448276,15.0862068965517,38.7931034482759
